docid	title_snippet
B1	spacex revenue jumps where will spacex stock be in year spacex stock faces a key year ahead as revenue starlink and ai growth rise while heavy spending high valuation and lockups
B2	spacexs ai spending doubles to billion in amid aggressive compute expansion elon musk said spacex is expected to hit a billion annualized revenue run rate by the end of the year much of it coming
B3	spacexs first public earnings reveal the cost of musks ai ambitions starlinkpowered revenue nearly doubled in the june quarter and operating losses narrowed sharply but a massive surge in
B4	elon musks spacex posts million loss in first public quarter but revenue surges spacex reported a million loss in its first public quarter as revenue jumped to billion while shares fell from
B5	spacex rebounds after postearnings selloff first batch of lockedup shares unlocks spacex shares rose to on august recovering from recent losses driven by ai spending concerns while the stock
B6	spacex revenue nearly doubles to bn in debut earnings as starlink ai businesses surge spacex nearly doubled its revenue in the quarter ended june driven by strong growth in its starlink satellite internet business and artificial intelligence ai operations according to the
B7	spacex the market may still be misreading the business spacexs ai infrastructure has become a core growth driver with ai revenue reaching in read why spcx stock is a
B8	spacex earnings beat expectations so why is the stock falling starting august up to million spacex shares will be freed from their lockin period with more unlocks scheduled
B9	spacex shares fall in extended trading as spending plans dampen improving financials spacex reported revenue of billion for the quarter gone by which was higher than last year and also above the
B10	investors expect spacex to slide to per share suggesting zero ai business value is it too late to get rich spacex shares have plunged close to from their alltime highs as of late july they could slide further as investors
B11	spacex reports revenue jump driven by ai and starlink spacexs revenue doubled yearoveryear driven by starlinks expansion and lucrative computing power agreements with
B12	elon musk at spacexs first earnings call says data centers a trivial problem compared to what company s rocket engineers work on every day spacex is significantly increasing its investment in ai data centers the company views building ai infrastructure as a
B13	spacex revenue hits as ai investment push weighs on stock price spacex shares reversed gains after the company released its first quarterly earnings report following its june public listing
