docid	title_snippet
G1	apple aapl iphone subcontractor rocked by worker riot apple inc aapl is facing a disruption to its international supply chain as a result of a largescale riot at an iphone assembly plant in india owned by one of its
G2	apple s greatest chip challenge replacing qualcomm modems apple inc has become a chip powerhouse in the past decade beating some of the semiconductor industrys leading companies at their own game but the
G3	apple preps next mac chips with aim to outclass topend pcs apple inc is planning a series of new mac processors for introduction as early as that are aimed at outperforming intel corps fastest chip engineers at
G4	tim cook takes a swipe at big tech rivals and their lack of responsibility tim cook said in a podcast released wednesday that apple is different from other silicon valley giants shirking their responsibility on issues like misinformation
G5	techs top seven companies added trillion in value in big tech got much bigger in and tesla joined the pack of megacap tech stocks after climbing ninefold
G6	this week in apple foldable iphone tests airpods pro and more rumors want to know the latest exciting apple news from the past week check out our apple news roundup for the week ending january
G7	while apple loses copyright claims against virtual iphone maker corellium the company may have violated the copyright act dmca its being reported today that lost its copyright claims against florida company corellium that makes virtual iphones used by security researchers to test for
G8	the apple watch se was my best purchase in heres why business insider the fitness tools customization options and audio control were the most useful features
G9	the app store before there was an app store wants to liberate your iphone again a new lawsuit brought by one of apples oldest foes seeks to force the iphone maker to allow alternatives to the app store the latest in a growing number of
G10	apple introduces airpods max the magic of airpods in a stunning overear design apple today announced airpods max innovative wireless headphones that bring the magic of airpods to an overear design with highfidelity audio
G11	apple reportedly drags its feet when dealing with chronic china labor law offenders a new report sheds some light on how apple deals with companies that slack on enforcing labor laws in china alleging that if corrective actions will impact
G12	vw chief sees cashrich tech competitors like apple as major threat volkswagen ag ceo herbert diess fears more from competition in the auto industry with cashrich technology giants like apple inc than he does from legacy
G13	apple shifts leadership of selfdriving car unit to ai chief apple inc has moved its selfdriving car unit under the leadership of top artificial intelligence executive john giannandrea who will oversee the companys
G14	musk apple ceo didnt take meeting about buying tesla tesla ceo elon musk says he once considered selling the electric car maker to apple but the iphone makers ceo blew off the meeting in a tweet tuesday
G15	apple s market value hits trillion record apple has by far the largest market value among american publicly traded companies at trillion is its future in electric vehicles
G16	steve jobs had it right adobe ends support for flash remember when having mobile flash on your android phone was a big deal but steve jobs refused to allow flash on ios and as it turned out all of the
G17	apples globalization plans meet a baton charge in india for more than a decade companies like apple inc have entertained the idea of evolving away from chinabased supply chains to have their devices made in
G18	the real cost of being the ultimate apple fan nearly picture this you are the ultimate apple fan youve got an unlimited budget and you want all of the things topoftheline devices fancy accessories and
G19	covid tracing app roundup all of the countries and us states that currently offer exposure notification apps if youre looking for your countrys or states official covid exposure notification system app you might not be able to find it thanks to the screwy way google is
G20	leaker points to potential multiple sizes of airpods pro on wednesday mr white a relatively wellknown and fairly trusted leaker tweeted that apple might be working on size variation for the unreleased airpods pro
