docid	title_snippet
G1	facebookapple skirmish is the latest in a fight that stretches back more than a decade facebook launched a campaign last week blasting apples decision to prompt iphone users to disable apps from tracking their personal data
G2	apple stock buy sell or hold after soaring in was an astounding year for tech investors the techheavy nasdaq composite jumped over this timeframe some tech stocks however performed
G3	the apple watch se was my best purchase in heres why business insider the fitness tools customization options and audio control were the most useful features
G4	apple aapl iphone subcontractor rocked by worker riot apple inc aapl is facing a disruption to its international supply chain as a result of a largescale riot at an iphone assembly plant in india owned by one of its
G5	iphone maker slides after riot spurs apple to suspend business wistron corp apple incs main iphone assembler in india slid as much as after the us tech giant placed it on probation for lapses in labor practices that
G6	while apple loses copyright claims against virtual iphone maker corellium the company may have violated the copyright act dmca its being reported today that lost its copyright claims against florida company corellium that makes virtual iphones used by security researchers to test for
G7	a landmark year of giving from apple how apple recorded a landmark year in giving while helping nonprofits worldwide meet biggest challenges
G8	facebook attacks apple software changes in newspaper ads facebook inc lashed out at apple inc in a series of fullpage newspaper ads claiming the iphone makers coming mobile software changes around data
G9	this week in apple foldable iphone tests airpods pro and more rumors want to know the latest exciting apple news from the past week check out our apple news roundup for the week ending january
G10	apple starts work on its own cellular modem chip chief says apple inc has started building its own cellular modem for future devices a move that would replace components from qualcomm inc apples top chip executive
G11	apple preps next mac chips with aim to outclass topend pcs apple inc is planning a series of new mac processors for introduction as early as that are aimed at outperforming intel corps fastest chip engineers at
G12	apple reportedly drags its feet when dealing with chronic china labor law offenders a new report sheds some light on how apple deals with companies that slack on enforcing labor laws in china alleging that if corrective actions will impact
G13	exclusive apple targets car production by and eyes next level battery technology sources reuters apple inc is moving forward with selfdriving car technology and is targeting to produce a passenger vehicle that could include its own
G14	apple ceo says most staff wont return to office until june apple inc chief executive officer tim cook shared new details on the companys plan to return to the office during a virtual town hall meeting with employees on
G15	apple s market value hits trillion record apple has by far the largest market value among american publicly traded companies at trillion is its future in electric vehicles
G16	the real cost of being the ultimate apple fan nearly picture this you are the ultimate apple fan youve got an unlimited budget and you want all of the things topoftheline devices fancy accessories and
G17	still time to enter our mac mini giveaway from macstadium theres still time for readers to enter the mac mini giveaway from macstadium head below to enter
G18	apple hits record after december surge sends it past amazon apple inc shares briefly rallied to an intraday record today continuing a yearend surge thats cementing its lead over amazoncom inc as best performer
G19	apple launches overear headphones into crowded market apple inc launched its first overear headphones entering a competitive market dominated by rivals such as bose corp and sony corp and expanding its
G20	steve jobs had it right adobe ends support for flash remember when having mobile flash on your android phone was a big deal but steve jobs refused to allow flash on ios and as it turned out all of the
